Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,Batsman,Year,Start Date
71,71,112,63.39,1,2,Pakistan,Providence,04/11/2017,Shai Hope,2017,2017
35,35,63,55.55,1,1,Afghanistan,Gros Islet,06/09/2017,Shai Hope,2017,2017
48*,48,77,62.33,3,0,Afghanistan,Gros Islet,06/11/2017,Shai Hope,2017,2017
81,81,88,92.04,5,3,India,Port of Spain,06/25/2017,Shai Hope,2017,2017
24,24,50,48.0,2,0,India,North Sound,06/30/2017,Shai Hope,2017,2017
25,25,39,64.1,1,0,India,North Sound,07/02/2017,Shai Hope,2017,2017
51,51,98,52.04,5,0,India,Kingston,07/06/2017,Shai Hope,2017,2017
35,35,57,61.4,4,0,England,Manchester,09/19/2017,Shai Hope,2017,2017
20,20,25,80.0,4,0,England,Bristol,09/24/2017,Shai Hope,2017,2017
11,11,11,100.0,2,0,England,The Oval,09/27/2017,Shai Hope,2017,2017
72,72,95,75.78,4,1,England,Southampton,09/29/2017,Shai Hope,2017,2017
0,0,1,0.0,0,0,New Zealand,Whangarei,12/20/2017,Shai Hope,2017,2017
23,23,19,121.05,3,0,New Zealand,Christchurch,12/23/2017,Shai Hope,2017,2017
2,2,4,50.0,0,0,New Zealand,Christchurch,12/26/2017,Shai Hope,2017,2017
35*,35,27,129.62,1,3,U.A.E.,Harare,03/06/2018,Shai Hope,2018,2018
49*,49,115,42.6,3,0,P.N.G.,Harare,03/08/2018,Shai Hope,2018,2018
7,7,14,50.0,1,0,Ireland,Harare,03/10/2018,Shai Hope,2018,2018
43,43,94,45.74,0,0,Afghanistan,Harare,03/15/2018,Shai Hope,2018,2018
76,76,97,78.35,5,1,Zimbabwe,Harare,03/19/2018,Shai Hope,2018,2018
0,0,6,0.0,0,0,Scotland,Harare,03/21/2018,Shai Hope,2018,2018
23,23,33,69.69,0,1,Afghanistan,Harare,03/25/2018,Shai Hope,2018,2018
6,6,11,54.54,0,0,Bangladesh,Providence,07/22/2018,Shai Hope,2018,2018
25,25,43,58.13,3,0,Bangladesh,Providence,07/25/2018,Shai Hope,2018,2018
64,64,94,68.08,5,0,Bangladesh,Basseterre,07/28/2018,Shai Hope,2018,2018
32,32,51,62.74,2,0,India,Guwahati,10/21/2018,Shai Hope,2018,2018
123*,123,134,91.79,10,3,India,Visakhapatnam,10/24/2018,Shai Hope,2018,2018
95,95,113,84.07,6,3,India,Pune,10/27/2018,Shai Hope,2018,2018
0,0,2,0.0,0,0,India,Mumbai (BS),10/29/2018,Shai Hope,2018,2018
0,0,5,0.0,0,0,India,Thiruvananthapuram,11/01/2018,Shai Hope,2018,2018
43,43,59,72.88,3,0,Bangladesh,Dhaka,12/09/2018,Shai Hope,2018,2018
146*,146,144,101.38,12,3,Bangladesh,Dhaka,12/11/2018,Shai Hope,2018,2018
108*,108,131,82.44,9,1,Bangladesh,Sylhet,12/14/2018,Shai Hope,2018,2018
64,64,65,98.46,7,1,England,Bridgetown,02/20/2019,Shai Hope,2019,2019
33,33,45,73.33,1,2,England,Bridgetown,02/22/2019,Shai Hope,2019,2019
5,5,7,71.42,1,0,England,St George's,02/27/2019,Shai Hope,2019,2019
13,13,18,72.22,0,1,England,Gros Islet,03/02/2019,Shai Hope,2019,2019
170,170,152,111.84,22,2,Ireland,Dublin,05/05/2019,Shai Hope,2019,2019
109,109,132,82.57,11,1,Bangladesh,Dublin,05/07/2019,Shai Hope,2019,2019
30,30,32,93.75,4,0,Ireland,Dublin (Malahide),05/11/2019,Shai Hope,2019,2019
87,87,108,80.55,6,1,Bangladesh,Dublin (Malahide),05/13/2019,Shai Hope,2019,2019
74,74,64,115.62,6,3,Bangladesh,Dublin (Malahide),05/17/2019,Shai Hope,2019,2019
29,29,42,69.04,4,0,New Zealand,Whangarei,12/20/2017,Shimron Hetmyer,2017,2017
2,2,4,50.0,0,0,New Zealand,Christchurch,12/23/2017,Shimron Hetmyer,2017,2017
127,127,93,136.55,14,4,U.A.E.,Harare,03/06/2018,Shimron Hetmyer,2018,2018
8,8,12,66.66,1,0,P.N.G.,Harare,03/08/2018,Shimron Hetmyer,2018,2018
36,36,40,90.0,3,1,Ireland,Harare,03/10/2018,Shimron Hetmyer,2018,2018
15,15,22,68.18,1,0,Afghanistan,Harare,03/15/2018,Shimron Hetmyer,2018,2018
13,13,7,185.71,0,1,Zimbabwe,Harare,03/19/2018,Shimron Hetmyer,2018,2018
